city,area,rooms,bathroom,parking_spaces,animal,furniture,hoa_(BRL),rent_amount_(BRL),property_tax_(BRL),fire_insurance_(BRL),total_(BRL)
4,70,2,1,1,0,0,2065,3300,211,42,8.633908991112198
4,320,4,4,0,0,1,1200,4960,1750,63,8.983941527941301
2,80,1,1,1,0,1,1000,2800,0,41,8.253748343328501
2,51,2,1,0,0,1,270,1112,22,17,7.259819610363186
4,25,1,1,0,1,1,0,800,25,11,6.729824070489475
4,376,3,3,7,0,1,0,8000,834,121,9.100078977718645
3,72,2,1,0,0,1,740,1900,85,25,7.919719760924575
4,213,4,4,4,0,1,2254,3223,1735,41,8.889308319842847
4,152,2,2,1,0,0,1000,15000,250,191,9.707533494010876
3,35,1,1,0,0,0,590,2300,35,30,7.991592282068092
4,26,1,1,0,0,0,470,2100,150,27,7.91862865334224
1,46,1,1,1,0,1,550,580,43,8,7.074963197966044
4,36,1,1,0,0,1,359,2100,70,27,7.846589975291186
4,55,1,1,1,0,0,790,4200,224,54,8.569595870209286
4,100,2,2,2,0,0,900,4370,17,56,8.583729715216482
1,330,4,6,6,0,0,680,8000,328,121,9.119320973589014
4,110,2,2,1,0,1,700,3000,122,39,8.258940462988459
3,88,2,3,1,1,0,1614,3500,221,16,8.585225601808064
3,56,2,1,0,0,1,800,1220,0,16,7.619233416226805
4,600,4,5,6,0,1,0,12000,9500,181,9.98419157995109
4,100,7,4,0,0,1,0,3800,118,58,8.28828304520769
0,42,1,1,1,1,0,470,2690,172,36,8.122371243406553
4,160,3,2,2,0,0,1530,1900,167,25,8.195057690895077
4,35,1,1,0,0,1,0,1100,3,14,7.0192966537150445
3,90,3,2,1,0,1,800,1800,118,24,7.916807490937603
4,49,1,1,1,0,1,480,3500,42,45,8.31090675716845
4,41,1,1,1,1,0,600,3000,0,39,8.199738960630786
0,64,2,2,1,0,1,352,1500,80,20,7.577121930876679
1,208,3,2,4,0,1,0,3180,100,48,8.110427237575024
4,20,1,1,0,0,0,602,1800,130,23,7.846198815497425
4,55,2,2,2,0,1,780,1068,142,14,7.60339933974067
4,32,1,1,0,0,1,515,1700,29,22,7.726212650507529
4,80,2,2,1,0,1,1208,2550,216,33,8.2960476427647
3,45,1,1,1,0,0,2450,2500,593,33,8.626406276389554
4,350,4,4,3,0,1,2100,4000,500,51,8.802672840312818
2,38,1,1,2,1,1,450,1750,0,26,7.708410667257367
4,30,1,1,0,0,1,460,1600,0,21,7.641084249174914
0,80,3,2,1,0,1,0,11000,425,181,9.359708203627006
4,70,2,1,0,1,1,0,1150,59,18,7.113142108707088
2,40,1,1,1,0,0,390,2990,0,44,8.138856750696325
4,300,4,6,4,0,1,3700,12000,1584,153,9.766579035268668
4,240,3,2,3,0,1,0,3500,292,53,8.254788926148725
0,200,4,2,1,1,1,850,2550,9,34,8.144388865547622
0,45,1,1,1,0,1,500,1631,192,12,7.756195343948118
4,360,4,5,0,0,1,4000,6410,2000,82,9.43276366396591
4,40,1,1,1,0,0,978,2829,0,33,8.253488028345904
0,100,3,1,0,1,1,700,1220,10,17,7.5745584842024805
2,42,1,1,2,0,0,190,1770,17,26,7.602900462204755
1,250,3,3,2,0,1,2200,1700,256,22,8.337827262447915
1,48,1,1,1,0,0,505,1600,59,21,7.689828668736484
3,90,3,3,1,0,1,1250,3800,147,49,8.565411763686711
4,45,1,2,1,0,0,856,3900,150,50,8.508555998020574
3,150,2,3,4,0,1,1700,4000,700,52,8.77230041793584
4,60,2,1,0,0,1,200,1445,0,19,7.417580402414544
4,31,1,1,0,0,1,370,2350,56,30,7.939871576361883
4,210,4,5,4,1,1,1650,9000,772,115,9.353661191420406
4,280,3,1,2,0,1,0,6000,113,91,8.733110697638708
1,93,2,3,2,0,1,663,5500,133,70,8.758883680017025
2,75,3,2,1,0,1,340,1800,109,27,7.7306140660637395
4,194,3,4,3,0,1,0,4000,70,61,8.326516830239528
4,41,1,1,1,0,0,523,4000,131,51,8.456593569287309
3,65,1,1,1,0,0,2000,5100,250,66,8.911529941736559
4,70,2,1,1,0,1,761,2150,67,28,8.008698182988528
4,278,4,5,2,0,0,4052,9000,1261,115,9.577133949436078
3,35,1,1,0,0,1,306,1521,21,20,7.533158807455563
1,300,4,4,3,0,1,2300,6000,417,77,9.081938657171658
4,61,2,1,1,0,1,459,1850,0,24,7.755338812846501
3,130,3,2,1,0,1,1660,1700,475,22,8.257904193465674
3,80,2,1,1,0,1,500,900,90,12,7.315218389752975
4,164,4,4,2,1,1,2159,5000,386,64,8.937218450855731
0,220,4,2,3,0,1,450,2422,125,33,8.016647877057803
4,45,1,1,0,0,1,0,1050,46,16,7.014814351275545
4,108,3,2,2,0,1,1290,5600,435,71,8.908829791587868
0,128,1,1,0,0,0,418,2100,182,28,7.911690520708339
3,60,1,1,0,1,1,450,1800,48,24,7.750614732770409
4,250,4,5,4,0,1,2050,9800,998,125,9.470471375340674
2,47,1,1,1,1,0,400,2200,0,33,7.876258882303226
0,170,4,3,4,1,1,744,2700,296,36,8.236685322712457
4,45,1,1,0,1,1,300,1240,0,16,7.350516171833998
4,42,1,1,1,0,1,686,3500,123,45,8.379079889286603
4,164,4,4,3,0,1,1840,6000,550,77,9.044049632254756
4,70,3,1,1,0,1,700,1020,200,13,7.56734567601324
2,100,4,3,1,0,1,600,2200,159,33,8.0040315078527
4,64,2,2,2,0,0,1300,4500,440,58,8.74814616962193
0,68,2,1,1,0,1,320,1200,27,16,7.355001921105257
0,75,2,2,2,1,1,620,2500,264,34,8.137103389639302
4,600,4,4,4,0,1,7400,8500,3368,108,9.872048483700748
4,63,2,2,0,1,1,590,1550,152,20,7.746300662231439
4,145,3,4,3,1,1,1200,6000,750,77,8.990690709916228
4,85,2,2,2,1,1,1500,2800,292,36,8.44009614103127
4,254,4,4,4,0,1,3366,9000,1800,115,9.566685261452934
2,350,4,4,4,0,0,1,9000,359,160,9.161255164285691
4,300,4,4,3,0,1,0,3500,584,53,8.327967858305488
0,296,4,3,2,0,1,0,13500,423,222,9.557540571952371
4,64,2,2,2,0,1,450,2800,30,36,8.106816038947052
4,133,3,2,0,0,1,813,2957,38,38,8.255048902752295
1,44,1,1,0,0,1,350,550,12,7,6.824373670043086
1,240,3,4,2,0,1,0,3000,250,46,8.10076824307173
2,70,3,2,1,0,1,490,2500,8,37,8.01829613851552
4,22,1,1,0,0,1,302,2050,45,26,7.793174347189205
2,50,1,1,1,0,1,350,950,50,14,7.21890970761906
2,67,3,2,2,0,1,600,2200,50,33,7.96693349840484
4,31,1,1,0,0,0,430,2300,0,30,7.923348211930154
3,90,2,1,1,0,0,850,3468,191,45,8.423980809694058
3,109,3,3,1,0,1,2000,3800,300,49,8.724207360800564
0,400,4,2,2,1,1,0,2500,74,41,7.86940171257709
4,300,4,5,4,0,0,0,14000,1167,211,9.64088826045181
1,284,4,3,3,0,1,2340,6000,483,77,9.093918908958932
2,70,2,1,1,0,0,360,2400,30,36,7.946971357693591
3,309,4,5,4,0,1,2661,6500,682,84,9.203114326884442
4,70,2,1,0,0,1,0,2100,134,32,7.726212650507529
4,360,3,4,1,0,1,2300,10000,584,127,9.473550432503476
4,30,1,1,1,1,1,886,1500,0,20,7.786136437783072
1,80,2,2,2,0,1,832,2200,171,28,8.080856419640986
0,133,4,4,3,1,1,1500,7000,800,94,9.147932911847565
4,38,1,1,1,1,0,1620,2800,279,36,8.462948176563842
4,73,2,2,1,0,1,1100,3500,100,45,8.465057436995709
4,155,3,4,2,0,1,1500,2000,150,26,8.209852481301272
