Epoch1/200 | Loss: 0.19931909869346323 | AUC: 0.8035958535357655| AUC_test: 0.85544084541709
 Epoch2/200 | Loss: 0.1819031060516988 | AUC: 0.8414637552152487| AUC_test: 0.8624712232127383
 Epoch3/200 | Loss: 0.17882877267544606 | AUC: 0.8481468585565491| AUC_test: 0.8657476889527292
 Epoch4/200 | Loss: 0.1758657665059254 | AUC: 0.8539332580261245| AUC_test: 0.8698843716797382
 Epoch5/200 | Loss: 0.17298101746246838 | AUC: 0.8596461498121167| AUC_test: 0.8734840659866482
 Epoch6/200 | Loss: 0.1711475640303118 | AUC: 0.8631689027771143| AUC_test: 0.8746757330734002
 Epoch7/200 | Loss: 0.1701561655660724 | AUC: 0.8650096680631647| AUC_test: 0.8753007118083629
 Epoch8/200 | Loss: 0.16950744053126063 | AUC: 0.8661553658140353| AUC_test: 0.8759263733003759
 Epoch9/200 | Loss: 0.16897960765711512 | AUC: 0.8671559736825529| AUC_test: 0.8766688715926299
 Epoch10/200 | Loss: 0.16863322547724338 | AUC: 0.8677800617480422| AUC_test: 0.8767689239487163
 Epoch11/200 | Loss: 0.16838352671595055 | AUC: 0.868209219289138| AUC_test: 0.8769088891440378
 Epoch12/200 | Loss: 0.16816163148950694 | AUC: 0.8685770031296726| AUC_test: 0.8770107906338023
 Epoch13/200 | Loss: 0.1679670206145313 | AUC: 0.8688995588297436| AUC_test: 0.8772071117339878
 Epoch14/200 | Loss: 0.1678105123618692 | AUC: 0.8691734613001517| AUC_test: 0.8773339623043005
 Epoch15/200 | Loss: 0.1676887759567039 | AUC: 0.8693954424499911| AUC_test: 0.8775107963803407
 Epoch16/200 | Loss: 0.16755890067317863 | AUC: 0.8696010272033794| AUC_test: 0.8777183829718571
 Epoch17/200 | Loss: 0.16746684888020796 | AUC: 0.8697633345652105| AUC_test: 0.8778122905144904
 Epoch18/200 | Loss: 0.1673767430573633 | AUC: 0.8698964402445224| AUC_test: 0.8779281600755766
 Epoch19/200 | Loss: 0.16726845852017655 | AUC: 0.870081245281299| AUC_test: 0.8780300331171307
 Epoch20/200 | Loss: 0.16717957962694482 | AUC: 0.8702156899575475| AUC_test: 0.8781238837633432
